latitude,longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,source,operator,network_type,label_source,sample_weight,is_deadzone,signal_target,regression_weight,quality_score,cost231_predicted_rsrp,p1812_rsrp_dbm,p1812_distance_km,p1812_diffraction_loss_db
34.44089357139115,35.85662841796875,53318.0,21725.0,17.0,3.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-84.07305430068085,0.6,0.9266557569691997,,,,
34.43636318093372,35.85113525390625,10869.0,2948.0,23.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-94.54528838561663,0.6,0.7502920074475431,,,,
34.43636318093372,35.85662841796875,2375.0,1342.0,24.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-104.06225038108177,0.6,0.6076194474243773,,,,
34.43183254485123,35.82366943359375,93724.0,5300.0,20.0,4.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-75.93509567307979,0.6,0.942393340338471,,,,
34.43183254485123,35.82916259765625,67939.0,13934.0,24.0,4.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-80.57688111666693,0.6,0.9334358967184021,,,,
34.43183254485123,35.83465576171875,57663.0,23685.0,22.0,11.0,8.0,ookla,Unknown,Unknown,ookla,2.0,0,-82.94282197830239,0.6,0.9320073115686902,,,,
34.42730166315868,35.82916259765625,38084.0,6201.0,24.0,3.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.96371540301719,0.6,0.8688111134058091,,,,
34.42730166315868,35.83465576171875,27576.0,15528.0,21.0,19.0,8.0,ookla,Unknown,Unknown,ookla,2.0,0,-89.29257445534772,0.6,0.8628369867663251,,,,
34.42277053587108,35.82366943359375,23372.0,14199.0,25.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.36744396638325,0.6,0.8449713236198477,,,,
34.42277053587108,35.82916259765625,66820.0,9841.0,25.0,4.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-80.8164811221448,0.6,0.924286744918647,,,,
34.42277053587108,35.83465576171875,44011.0,18091.0,25.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-85.92031971226957,0.6,0.9023363831454974,,,,
34.41823916300347,35.83465576171875,24000.0,5159.0,17.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.2227567795909,0.6,0.8308917240318775,,,,
34.43183254485123,35.84014892578125,14367.0,16051.0,23.0,9.0,6.0,ookla,Unknown,Unknown,ookla,2.0,0,-93.02274101205084,0.6,0.8084196563803748,,,,
34.43183254485123,35.84564208984375,48348.0,16523.0,24.0,30.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-85.24235941783529,0.6,0.9088192562304889,,,,
34.42730166315868,35.84014892578125,55540.0,18381.0,22.0,13.0,6.0,ookla,Unknown,Unknown,ookla,2.0,0,-83.48400917730604,0.6,0.9236611360410641,,,,
34.42730166315868,35.84564208984375,37309.0,7435.0,27.0,6.0,4.0,ookla,Unknown,Unknown,ookla,2.0,0,-87.11202201517703,0.6,0.8691143875287203,,,,
34.43183254485123,35.85113525390625,18163.0,6171.0,28.0,6.0,5.0,ookla,Unknown,Unknown,ookla,2.0,0,-91.7433837099248,0.6,0.8051298909802037,,,,
34.43183254485123,35.85662841796875,4300.0,1547.0,46.0,4.0,4.0,ookla,Unknown,Unknown,ookla,2.0,0,-100.82300783194704,0.6,0.6468370383405276,,,,
34.42730166315868,35.85113525390625,31532.0,964.0,18.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-88.32555707619022,0.6,0.8181978055931776,,,,
34.42277053587108,35.84014892578125,58196.0,15113.0,31.0,14.0,9.0,ookla,Unknown,Unknown,ookla,2.0,0,-82.81008099459666,0.6,0.9182290648425763,,,,
34.42277053587108,35.84564208984375,44193.0,7678.0,42.0,5.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-85.89055112240018,0.6,0.8750407288420867,,,,
34.41823916300347,35.84014892578125,26772.0,4152.0,28.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-89.50601587735757,0.6,0.8290286877411869,,,,
34.41823916300347,35.84564208984375,17197.0,4685.0,26.0,3.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-92.04160569266526,0.6,0.7960777137425579,,,,
34.42277053587108,35.85113525390625,82250.0,15088.0,18.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-77.81912416039485,0.6,0.9543926720891339,,,,
34.41823916300347,35.85113525390625,42944.0,2462.0,23.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.09735759118314,0.6,0.8602259213048289,,,,
34.41823916300347,35.85662841796875,2401.0,1525.0,28.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-104.00283758024375,0.6,0.6088314436337898,,,,
34.40011121603371,35.80169677734375,22676.0,5308.0,26.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.53241141164104,0.6,0.8215384921802463,,,,
34.39104576945997,35.79071044921875,9722.0,1786.0,29.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-95.20337480380434,0.6,0.7272038502831482,,,,
34.38651267795363,35.77972412109375,29713.0,27359.0,16.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-88.75416909673228,0.6,0.883640325673604,,,,
34.38197934098775,35.77972412109375,10540.0,789.0,22.0,4.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-94.71301439439642,0.6,0.7210728888985385,,,,
34.38651267795363,35.78521728515625,34814.0,12456.0,20.0,4.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-87.61130255485703,0.6,0.8781416816935008,,,,
34.38651267795363,35.79071044921875,28715.0,12977.0,27.0,5.0,4.0,ookla,Unknown,Unknown,ookla,2.0,0,-89.0006176658171,0.6,0.8589750627362364,,,,
34.39104576945997,35.80718994140625,7758.0,2173.0,17.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-96.8312165950902,0.6,0.7195892636822082,,,,
34.39104576945997,35.81268310546875,1006.0,139.0,26.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-109.9568484742828,0.6,0.4885008738786082,,,,
34.38651267795363,35.79620361328125,7851.0,621.0,19.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-96.74525834890129,0.6,0.6935055916021945,,,,
